DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2017-06-16 05:51:37,1,10,0,193.8,54.371,5,62744,313720,0,0.1,0.5,193.3
2017-06-16 05:51:39,1,23,0,90.043,39.259,11.5,62744,721556,0,0,0.609,89.391
2017-06-16 05:51:41,1,19,0,101,43.981,9.5,62744,596068,0,0,0.632,100.421
2017-06-16 05:51:43,1,28,0,73.429,21.121,14,62744,878416,0,0.679,1,72.679
2017-06-16 05:51:45,1,31,0,63.871,16.066,15.5,62744,972532,0,0.097,0.548,63.452
2017-06-16 05:51:47,1,28,0,71.143,17.826,14,62744,878416,0,0.071,0.321,70.536
2017-06-16 05:51:49,1,23,0,87,28.795,11.5,62744,721556,0,0.043,0.565,86.174
2017-06-16 05:51:51,1,27,0,72.296,22.629,13.5,62744,847044,0,0.185,0.815,71.926
2017-06-16 05:51:53,1,28,0,72.071,15.691,14,62744,878416,0,0.071,0.536,71.536
2017-06-16 05:51:55,1,28,0,68.25,11.846,14,62744,878416,0,0.929,1.321,67.5
2017-06-16 05:51:57,1,25,0,77.44,25.044,12.5,62744,784300,0,0.04,0.56,76.56
2017-06-16 05:51:59,1,22,0,94.909,30.186,11,62744,690184,0,0.182,0.545,94.045
2017-06-16 05:52:01,1,25,0,77.08,19.116,12.5,62744,784300,0,0.04,0.64,76.44
2017-06-16 05:52:03,1,27,0,73.259,16.679,13.5,62744,847044,0,0.037,0.37,72.963
2017-06-16 05:52:05,1,16,0,118,53.605,8,62744,501952,0,0.188,0.812,117.25
2017-06-16 05:52:07,1,20,0,108.95,73.171,10,62744,627440,0,0.15,0.65,108.35
2017-06-16 05:52:09,1,29,0,67.793,15.027,14.5,62744,909788,0,1.31,1.655,67.345
2017-06-16 05:52:11,1,31,0,64.581,13.847,15.5,62744,972532,0,0.032,0.323,64.161
2017-06-16 05:52:13,1,22,0,88.364,38.627,11,62744,690184,0,0,0.364,87.5
2017-06-16 05:52:15,1,30,0,65.767,11.991,15,62744,941160,0,0.033,0.533,65.267
2017-06-16 05:52:17,1,29,0,68.724,21.989,14.5,62744,909788,0,0.517,0.966,68.31
2017-06-16 05:52:19,1,28,0,68.821,18,14,62744,878416,0,0.071,0.321,68.393
2017-06-16 05:52:21,1,26,0,77.731,38.039,13,62744,815672,0,0.115,0.577,76.846
2017-06-16 05:52:23,1,31,0,65,15.935,15.5,62744,972532,0,0.065,0.452,64.452
2017-06-16 05:52:25,1,30,0,65,13.919,15,62744,941160,0,0.1,0.367,64.3
2017-06-16 05:52:27,1,31,0,65.452,12.08,15.5,62744,972532,0,0.129,0.452,64.839
2017-06-16 05:52:29,1,29,0,67.138,19.734,14.5,62744,909788,0,0.483,0.793,66.172
2017-06-16 05:52:31,1,30,0,66.833,18.995,15,62744,941160,0,0.133,0.467,66.3
2017-06-16 05:52:33,1,29,0,67.862,14.202,14.5,62744,909788,0,0.103,0.448,67
2017-06-16 05:52:35,1,30,0,65.967,15.409,15,62744,941160,0,0.1,0.533,65.433
2017-06-16 05:52:37,1,30,0,66.533,15.834,15,62744,941160,0,0.567,0.933,65.5
2017-06-16 05:52:39,1,26,0,76.885,21.95,13,62744,815672,0,0.115,0.538,76.462
2017-06-16 05:52:41,1,17,0,119.588,38.208,8.5,62744,533324,0,0,0.941,119.059
2017-06-16 05:52:43,1,17,0,115.882,38.68,8.5,62744,533324,0,0.235,0.765,115
2017-06-16 05:52:45,1,19,0,105.579,26.432,9.5,62744,596068,0,0.105,0.474,105.105
2017-06-16 05:52:47,1,16,0,119.812,35.644,8,62744,501952,0,0.25,0.75,118.625
2017-06-16 05:52:49,1,21,0,97.143,36.097,10.5,62744,658812,0,0.143,0.571,96.667
2017-06-16 05:52:51,1,30,0,66.633,16.71,15,62744,941160,0,0.1,0.533,65.333
2017-06-16 05:52:53,1,30,0,66.6,19.551,15,62744,941160,0,0.433,0.833,66.033
